sell,112566.91,111440.01,0.047983979,2025-08-28T23:00:00,2025-08-29T02:00:00,54.0731463,filled,114818.2482,108064.2336
buy,111440.01,111279.45,0.048711812,2025-08-29T02:00:00,2025-08-29T06:00:00,-7.821168591,filled,109211.2098,115897.6104
sell,111279.45,110038.45,0.048746954,2025-08-29T06:00:00,2025-08-29T07:00:00,60.49497037,filled,113505.039,106828.272
buy,110038.45,110008.01,0.049571598,2025-08-29T07:00:00,2025-08-29T10:00:00,-1.508959429,filled,107837.681,114439.988
sell,110008.01,110094.37,0.049578456,2025-08-29T10:00:00,2025-08-29T11:00:00,-4.281595455,filled,112208.1702,105607.6896
buy,110094.37,110725.89,0.049520121,2025-08-29T11:00:00,2025-08-29T12:00:00,31.27294656,filled,107892.4826,114498.1448
sell,110725.89,108397.03,0.049378903,2025-08-29T12:00:00,2025-08-29T15:00:00,114.9965514,filled,112940.4078,106296.8544
buy,108397.03,108726.88,0.050970227,2025-08-29T15:00:00,2025-08-29T16:00:00,16.81252938,filled,106229.0894,112732.9112
sell,108726.88,108166,0.050892912,2025-08-29T16:00:00,2025-08-29T18:00:00,28.54481626,filled,110901.4176,104377.8048
buy,108166,108215.23,0.051288759,2025-08-29T18:00:00,2025-08-29T19:00:00,2.524945603,filled,106002.68,112492.64
sell,108215.23,107770.77,0.051277093,2025-08-29T19:00:00,2025-08-29T20:00:00,22.79061659,filled,110379.5346,103886.6208
buy,107770.77,108313.47,0.051594302,2025-08-29T20:00:00,2025-08-30T00:00:00,28.00022783,filled,105615.3546,112081.6008
sell,108313.47,107440.43,0.051465047,2025-08-30T00:00:00,2025-08-30T01:00:00,44.9310444,filled,110479.7394,103980.9312
buy,107440.43,109011.66,0.052092339,2025-08-30T01:00:00,2025-08-31T08:00:00,81.84904604,filled,105291.6214,111738.0472
sell,109011.66,108467.32,0.051716925,2025-08-31T08:00:00,2025-08-31T14:00:00,28.15159094,filled,111191.8932,104651.1936
buy,108467.32,108189.55,0.052106235,2025-08-31T14:00:00,2025-09-01T01:00:00,-14.47354882,filled,106297.9736,112806.0128
sell,108189.55,107409.1,0.052173125,2025-09-01T01:00:00,2025-09-01T04:00:00,40.71851502,filled,110353.341,103861.968
buy,107409.1,109503.86,0.052741771,2025-09-01T04:00:00,2025-09-01T09:00:00,110.4813515,filled,105260.918,111705.464
sell,109503.86,108761.59,0.052237307,2025-09-01T09:00:00,2025-09-01T11:00:00,38.77418616,filled,111693.9372,105123.7056
buy,108761.59,109146.6,0.052772067,2025-09-01T11:00:00,2025-09-01T14:00:00,20.31777342,filled,106586.3582,113112.0536
sell,109146.6,108931.94,0.052678991,2025-09-01T14:00:00,2025-09-01T17:00:00,11.30807224,filled,111329.532,104780.736
buy,108931.94,109713.31,0.052834704,2025-09-01T17:00:00,2025-09-02T11:00:00,41.2834527,filled,106753.3012,113289.2176
sell,109713.31,108795.99,0.052646562,2025-09-02T11:00:00,2025-09-02T12:00:00,48.29374392,filled,111907.5762,105324.7776
buy,108795.99,111367.99,0.053312401,2025-09-02T12:00:00,2025-09-02T14:00:00,137.1194945,filled,106620.0702,113147.8296
buy,113969.71,114270.16,0.0438713058057268,2025-08-05T07:00:00,2025-08-06T13:00:00,13.181133829330488,filled,111690.31580000001,118528.49840000001
sell,114270.16,116390.01,0.04381363049561377,2025-08-06T13:00:00,2025-08-07T12:00:00,-92.87832460612647,filled,116555.5632,109699.3536
buy,116390.01,116689.81,0.04261664213802887,2025-08-07T12:00:00,2025-08-07T15:00:00,12.77646931298118,filled,114062.2098,121045.6104
sell,116689.81,116544.4,0.04256189670090381,2025-08-07T15:00:00,2025-08-08T10:00:00,6.188925399278571,filled,119023.6062,112022.21759999999
buy,116544.4,116739.22,0.04264155207772945,2025-08-08T10:00:00,2025-08-09T05:00:00,8.307427175783548,filled,114213.51199999999,121206.17599999999
sell,116739.22,116524.1,0.04260597094580231,2025-08-09T05:00:00,2025-08-09T21:00:00,9.165396469860795,filled,119074.0044,112069.6512
buy,116524.1,118485.45,0.042723955935214726,2025-08-09T21:00:00,2025-08-10T04:00:00,83.79663097353303,filled,114193.618,121185.06400000001
sell,118485.45,118351.16,0.04237034023398925,2025-08-10T04:00:00,2025-08-10T20:00:00,5.689912990022145,filled,120855.159,113746.03199999999
buy,118351.16,119786.01,0.042442455027667934,2025-08-10T20:00:00,2025-08-11T01:00:00,60.89855659644896,filled,115984.13680000001,123085.20640000001
sell,119786.01,121742.06,0.04218825774454427,2025-08-11T01:00:00,2025-08-11T03:00:00,-82.52234156121595,filled,122181.73019999999,114994.56959999999
buy,121742.06,119089.3,0.041171489075262475,2025-08-11T03:00:00,2025-08-11T19:00:00,-109.21807935929307,filled,119307.2188,126611.7424
buy,118949.3,119725.61,0.041679041857415736,2025-08-12T00:00:00,2025-08-13T00:00:00,32.355856984330316,filled,116570.314,123707.27200000001
sell,119725.61,122754.01,0.041543916811970866,2025-08-13T00:00:00,2025-08-13T19:00:00,-125.81159767337233,filled,122120.1222,114936.58559999999
buy,118872.27,118836.28,0.041312957035865315,2025-08-14T12:00:00,2025-08-14T14:00:00,-1.486853323721009,filled,116494.8246,123627.16080000001
sell,118836.28,118255.0,0.04131921292558065,2025-08-14T14:00:00,2025-08-14T15:00:00,24.01803208938147,filled,121213.0056,114082.82879999999
buy,118255.0,117780.99,0.04162386852690045,2025-08-14T15:00:00,2025-08-15T13:00:00,-19.730129920435864,filled,115889.9,122985.2
sell,117780.99,117251.81,0.04170762622803896,2025-08-15T13:00:00,2025-08-15T15:00:00,22.070841647353973,filled,120136.6098,113069.7504
buy,117251.81,117586.91,0.04198997805246735,2025-08-15T15:00:00,2025-08-15T17:00:00,14.070841645382053,filled,114906.7738,121941.8824
sell,117586.91,116886.0,0.04193014638563733,2025-08-15T17:00:00,2025-08-15T19:00:00,29.389258903157206,filled,119938.64820000001,112883.4336
buy,116886.0,117320.02,0.04230729923845747,2025-08-15T19:00:00,2025-08-15T21:00:00,18.362214015475484,filled,114548.28,121561.44
sell,117320.02,117342.05,0.04222904228787276,2025-08-15T21:00:00,2025-08-15T23:00:00,-0.9303058016017878,filled,119666.4204,112627.2192
buy,117342.05,118429.99,0.042217150057402925,2025-08-15T23:00:00,2025-08-17T13:00:00,45.929726233451035,filled,114995.209,122035.732
sell,118429.99,117700.0,0.04202323918130874,2025-08-17T13:00:00,2025-08-17T21:00:00,30.67654436996379,filled,120798.5898,113692.7904
buy,117700.0,115325.99,0.04241418919451984,2025-08-17T21:00:00,2025-08-18T03:00:00,-100.69170928968182,filled,115346.0,122408.0
