,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
65,1756832400,9/2/2025,17,110803.39,111067.49,110930.45,110645.09,1185.02,131371843.08,57.8287075960318,39
66,1756836000,9/2/2025,18,110930.45,110957.31,110657.02,110200.45,1537.14,169959241.58,57.8287075960318,39
67,1756839600,9/2/2025,19,110657.02,110851.13,110825.09,110465.86,1028.33,113796196.96,57.8287075960318,39
68,1756843200,9/2/2025,20,110825.09,111443.62,111436.97,110735.62,1140.95,126867240.53,57.8287075960318,39
69,1756846800,9/2/2025,21,111436.97,111556.62,111145.29,111145.29,488.77,54442396.01,57.8287075960318,39
70,1756850400,9/2/2025,22,111145.29,111281.51,111281.51,110887.9,514.1,57111389.33,57.8287075960318,39
71,1756854000,9/2/2025,23,111281.51,111291.74,111259.11,111240.46,22.09,2457510.09,57.8287075960318,39
72,1756857600,9/3/2025,0,111245.94,111784.15,111351.45,111239.59,788.58,87924231.09,57.8320987110925,42
73,1756861200,9/3/2025,1,111351.45,111414.63,111186.48,110906.58,868.19,96469939.75,57.8320987110925,42
74,1756864800,9/3/2025,2,111186.48,111492.75,111389.63,111052.6,692.74,77111012.7,57.8320987110925,42
75,1756868400,9/3/2025,3,111389.63,111414.6,111060.44,110906.66,505.84,56210178.66,57.8320987110925,42
76,1756872000,9/3/2025,4,111060.44,111164.68,111039.87,110852.69,262.27,29120304.45,57.8320987110925,42
77,1756875600,9/3/2025,5,111039.87,111081.98,110716.84,110687.32,299.08,33153658.39,57.8320987110925,42
78,1756879200,9/3/2025,6,110716.84,110896.64,110745.92,110588.72,331.17,36669120.48,57.8320987110925,42
79,1756882800,9/3/2025,7,110745.92,111124.56,111106.49,110556.54,531.07,58844422.1,57.8320987110925,42
80,1756886400,9/3/2025,8,111106.49,111289.92,111035.71,110996.82,354.1,39354157.07,57.8320987110925,42
81,1756890000,9/3/2025,9,111035.71,111330.21,111318.8,110918.04,375.24,41712412.89,57.8320987110925,42
82,1756893600,9/3/2025,10,111318.8,111496.46,111466.33,111184.06,421.4,46939280.76,57.8320987110925,42
83,1756897200,9/3/2025,11,111466.33,111725.78,111478.7,111413.58,345.09,38501568.21,57.8320987110925,42
84,1756900800,9/3/2025,12,111478.7,111886.09,111148.32,111070.33,954.68,106431188.91,57.8320987110925,42
85,1756904400,9/3/2025,13,111148.32,111928.52,111491.96,111107.94,1866.23,208086788.96,57.8320987110925,42
86,1756908000,9/3/2025,14,111491.96,112545.3,112293.52,111143.27,2809,314166893,57.8320987110925,42
87,1756911600,9/3/2025,15,112293.52,112404.38,112249.3,111934.3,1404.5,157586804.37,57.8320987110925,42
88,1756915200,9/3/2025,16,112249.3,112374.19,111892.04,111715.94,969.44,108613897.12,57.8320987110925,42
89,1756918800,9/3/2025,17,111892.04,112601.73,112340.18,111883.58,1223.43,137460832.47,57.8320987110925,42
90,1756922400,9/3/2025,18,112340.18,112561.06,112036.33,111822.44,1183.69,132837444.68,57.8320987110925,42
91,1756926000,9/3/2025,19,112036.33,112293.46,112245.42,111809.33,1040.64,116536191.06,57.8320987110925,42
92,1756929600,9/3/2025,20,112245.42,112298.05,112267.03,112103.05,494.06,55432089.55,57.8320987110925,42
93,1756933200,9/3/2025,21,112267.03,112311.29,112045.64,111811.95,448.06,50226108.55,57.8320987110925,42
94,1756936800,9/3/2025,22,112045.64,112202.72,112005.7,111891.21,384.69,43110094.16,57.8320987110925,42
95,1756940400,9/3/2025,23,112005.7,112025.38,112025.38,112005.68,3.322,372064.37,57.8320987110925,42
96,1756944000,9/4/2025,0,111751.51,112225.93,112126.96,111661.91,582.52,65219246.32,57.6229080651707,44
97,1756947600,9/4/2025,1,112126.96,112129.75,112000.25,111698.28,520.61,58253047.5,57.6229080651707,44
98,1756951200,9/4/2025,2,112000.25,112025.73,111502.4,111456.41,662.12,73947034.01,57.6229080651707,44
99,1756954800,9/4/2025,3,111502.4,111760.77,111193.75,111179.15,777.5,86650484.91,57.6229080651707,44
100,1756958400,9/4/2025,4,111193.75,111369.49,110969.68,110964.7,337.25,37502275.22,57.6229080651707,44
101,1756962000,9/4/2025,5,110969.68,110973.14,110696.12,110625.97,558.98,61917442.99,57.6229080651707,44
102,1756965600,9/4/2025,6,110696.12,110760.66,110435.68,110320.83,483.45,53436962.27,57.6229080651707,44
103,1756969200,9/4/2025,7,110435.68,110681.41,110502.81,110385.62,355.61,39292320.56,57.6229080651707,44
104,1756972800,9/4/2025,8,110502.81,110876.62,110679.04,110453.03,372,41180191.72,57.6229080651707,44
105,1756976400,9/4/2025,9,110679.04,110891.76,110852.88,110679.04,240.68,26675606,57.6229080651707,44
106,1756980000,9/4/2025,10,110852.88,111178.98,110662.91,110662.91,458.96,50925419.84,57.6229080651707,44
107,1756983600,9/4/2025,11,110662.91,111080.79,110850.54,110579.46,467.77,51873706,57.6229080651707,44
108,1756987200,9/4/2025,12,110850.54,111158.75,110970.3,110569.66,829.93,92007136.02,57.6229080651707,44
109,1756990800,9/4/2025,13,110970.3,111003.8,110486.07,110237.31,1652.85,182874508.28,57.6229080651707,44
110,1756994400,9/4/2025,14,110486.07,110539.75,109869.26,109734.86,2292.67,252254751.33,57.6229080651707,44
111,1756998000,9/4/2025,15,109869.26,109885.4,109520.12,109345.22,1722.13,188632106.28,57.6229080651707,44
